Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 38,0.39794921875,3.492431640625e-06,-0.3955078125,-9.619140625e-07,0.03173828125,-9.4635009765625e-07
Cycle 39,0.39794921875,3.236083984375e-06,-0.3955078125,-9.307861328125e-07,0.0341796875,-9.41162109375e-07
Cycle 40,0.39794921875,2.99102783203125e-06,-0.25390625,-9.0301513671875e-07,0.0341796875,-9.3170166015625e-07
Cycle 41,0.39794921875,2.77740478515625e-06,-0.244140625,-8.9447021484375e-07,0.0341796875,-9.283447265625e-07
Cycle 42,0.39794921875,2.58270263671875e-06,-0.25634765625,-8.8775634765625e-07,0.03173828125,-9.24072265625e-07
Cycle 43,0.39794921875,2.40631103515625e-06,-0.263671875,-8.8531494140625e-07,0.03173828125,-9.2041015625e-07
Cycle 44,0.39794921875,2.27264404296875e-06,-0.25634765625,-8.7921142578125e-07,0.029296875,-9.0972900390625e-07
Cycle 45,0.39794921875,2.139892578125e-06,-0.2587890625,-8.7371826171875e-07,0.02685546875,-9.0576171875e-07
Cycle 46,0.39794921875,2.01507568359375e-06,-0.263671875,-8.721923828125e-07,0.02197265625,-9.02099609375e-07
Cycle 47,0.39794921875,1.91650390625e-06,-0.26123046875,-8.685302734375e-07,0.0244140625,-8.9874267578125e-07
Cycle 48,0.39794921875,1.8218994140625e-06,-0.2587890625,-8.63037109375e-07,0.02685546875,-8.929443359375e-07
Cycle 49,0.39794921875,1.73828125e-06,-0.25634765625,-8.59375e-07,0.029296875,-8.8470458984375e-07
Cycle 50,0.39794921875,1.661376953125e-06,-0.2685546875,-8.575439453125e-07,0.02685546875,-8.8226318359375e-07
