Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_E_RHE(V),Anodic_I_RHE(A),Cathodic_E_RHE(V),Cathodic_I_RHE(A)
Cycle 17,0.6507568359375,6.8511962890625e-06,-0.370697021484375,-7.7880859375e-07,1.3627161295572916,6.8511962890625e-06,0.3412622721354166,-7.7880859375e-07
Cycle 18,0.650787353515625,6.256103515625e-06,-0.380523681640625,-6.7596435546875e-07,1.3627466471354166,6.256103515625e-06,0.3314356119791666,-6.7596435546875e-07
Cycle 19,0.650787353515625,5.70068359375e-06,-0.395172119140625,-5.8135986328125e-07,1.3627466471354166,5.70068359375e-06,0.3167871744791666,-5.8135986328125e-07
Cycle 20,0.650726318359375,5.18798828125e-06,-0.407379150390625,-4.9957275390625e-07,1.3626856119791666,5.18798828125e-06,0.3045801432291666,-4.9957275390625e-07
Cycle 21,0.650726318359375,4.7198486328125e-06,-0.43670654296875,-4.38751220703125e-07,1.3626856119791666,4.7198486328125e-06,0.2752527506510416,-4.38751220703125e-07
Cycle 22,0.650787353515625,4.2926025390625e-06,-0.500152587890625,-3.88397216796875e-07,1.3627466471354166,4.2926025390625e-06,0.2118067057291666,-3.88397216796875e-07
Cycle 23,0.65081787109375,3.87481689453125e-06,-0.5001220703125,-3.9886474609375e-07,1.3627771647135416,3.87481689453125e-06,0.2118372233072916,-3.9886474609375e-07
Cycle 24,0.650787353515625,3.42132568359375e-06,-0.500091552734375,-3.49151611328125e-07,1.3627466471354166,3.42132568359375e-06,0.2118677408854166,-3.49151611328125e-07
Cycle 25,0.65081787109375,3.0322265625e-06,-0.50006103515625,-3.24310302734375e-07,1.3627771647135416,3.0322265625e-06,0.2118982584635416,-3.24310302734375e-07
Cycle 26,0.650299072265625,2.61444091796875e-06,-0.499603271484375,-2.894287109375e-07,1.3622583658854166,2.61444091796875e-06,0.2123560221354166,-2.894287109375e-07
Cycle 27,0.650390625,2.20123291015625e-06,-0.499603271484375,-2.7984619140625e-07,1.3623499186197916,2.20123291015625e-06,0.2123560221354166,-2.7984619140625e-07
Cycle 28,0.6505126953125,1.80938720703125e-06,-0.49969482421875,-2.59490966796875e-07,1.3624719889322916,1.80938720703125e-06,0.2122644694010416,-2.59490966796875e-07
Cycle 29,0.65057373046875,1.461181640625e-06,-0.499664306640625,-2.4603271484375e-07,1.3625330240885416,1.461181640625e-06,0.2122949869791666,-2.4603271484375e-07
Cycle 30,0.650726318359375,1.1737060546875e-06,-0.499725341796875,-2.415771484375e-07,1.3626856119791666,1.1737060546875e-06,0.2122339518229166,-2.415771484375e-07
Cycle 31,0.6507568359375,9.5001220703125e-07,-0.499786376953125,-2.33734130859375e-07,1.3627161295572916,9.5001220703125e-07,0.2121729166666666,-2.33734130859375e-07
Cycle 32,0.650787353515625,7.8399658203125e-07,-0.499725341796875,-2.33184814453125e-07,1.3627466471354166,7.8399658203125e-07,0.2122339518229166,-2.33184814453125e-07
Cycle 33,0.650787353515625,6.6497802734375e-07,-0.499725341796875,-2.2760009765625e-07,1.3627466471354166,6.6497802734375e-07,0.2122339518229166,-2.2760009765625e-07
Cycle 34,0.650787353515625,5.755615234375e-07,-0.499786376953125,-2.23876953125e-07,1.3627466471354166,5.755615234375e-07,0.2121729166666666,-2.23876953125e-07
Cycle 35,0.6507568359375,5.1025390625e-07,-0.499725341796875,-2.26898193359375e-07,1.3627161295572916,5.1025390625e-07,0.2122339518229166,-2.26898193359375e-07
Cycle 36,0.650787353515625,4.6051025390625e-07,-0.499755859375,-2.2564697265625e-07,1.3627466471354166,4.6051025390625e-07,0.2122034342447916,-2.2564697265625e-07
Cycle 37,0.650787353515625,4.23126220703125e-07,-0.49969482421875,-2.24395751953125e-07,1.3627466471354166,4.23126220703125e-07,0.2122644694010416,-2.24395751953125e-07
Cycle 38,0.65081787109375,3.94256591796875e-07,-0.49969482421875,-2.21710205078125e-07,1.3627771647135416,3.94256591796875e-07,0.2122644694010416,-2.21710205078125e-07
Cycle 39,0.650787353515625,3.71734619140625e-07,-0.499755859375,-2.23236083984375e-07,1.3627466471354166,3.71734619140625e-07,0.2122034342447916,-2.23236083984375e-07
Cycle 40,0.650787353515625,3.53668212890625e-07,-0.4996337890625,-2.54913330078125e-07,1.3627466471354166,3.53668212890625e-07,0.2123255045572916,-2.54913330078125e-07
Cycle 41,0.0221710205078125,1.1016845703125e-07,0.002716064453125,1.03240966796875e-07,0.7341303141276041,1.1016845703125e-07,0.7146753580729166,1.03240966796875e-07
