Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_E_RHE(V),Anodic_I_RHE(A),Cathodic_E_RHE(V),Cathodic_I_RHE(A)
Cycle 20,0.650726318359375,5.18798828125e-06,-0.407379150390625,-4.9957275390625e-07,1.2968958170572917,5.18798828125e-06,0.23879034830729173,-4.9957275390625e-07
Cycle 21,0.650726318359375,4.7198486328125e-06,-0.43670654296875,-4.38751220703125e-07,1.2968958170572917,4.7198486328125e-06,0.20946295572916673,-4.38751220703125e-07
Cycle 22,0.650787353515625,4.2926025390625e-06,-0.500152587890625,-3.88397216796875e-07,1.2969568522135417,4.2926025390625e-06,0.14601691080729173,-3.88397216796875e-07
Cycle 23,0.65081787109375,3.87481689453125e-06,-0.5001220703125,-3.9886474609375e-07,1.2969873697916667,3.87481689453125e-06,0.14604742838541673,-3.9886474609375e-07
Cycle 24,0.650787353515625,3.42132568359375e-06,-0.500091552734375,-3.49151611328125e-07,1.2969568522135417,3.42132568359375e-06,0.14607794596354173,-3.49151611328125e-07
Cycle 25,0.65081787109375,3.0322265625e-06,-0.50006103515625,-3.24310302734375e-07,1.2969873697916667,3.0322265625e-06,0.14610846354166673,-3.24310302734375e-07
Cycle 26,0.650299072265625,2.61444091796875e-06,-0.499603271484375,-2.894287109375e-07,1.2964685709635417,2.61444091796875e-06,0.14656622721354173,-2.894287109375e-07
Cycle 27,0.650390625,2.20123291015625e-06,-0.499603271484375,-2.7984619140625e-07,1.2965601236979167,2.20123291015625e-06,0.14656622721354173,-2.7984619140625e-07
Cycle 28,0.6505126953125,1.80938720703125e-06,-0.49969482421875,-2.59490966796875e-07,1.2966821940104167,1.80938720703125e-06,0.14647467447916673,-2.59490966796875e-07
Cycle 29,0.65057373046875,1.461181640625e-06,-0.499664306640625,-2.4603271484375e-07,1.2967432291666667,1.461181640625e-06,0.14650519205729173,-2.4603271484375e-07
Cycle 30,0.650726318359375,1.1737060546875e-06,-0.499725341796875,-2.415771484375e-07,1.2968958170572917,1.1737060546875e-06,0.14644415690104173,-2.415771484375e-07
Cycle 31,0.6507568359375,9.5001220703125e-07,-0.499786376953125,-2.33734130859375e-07,1.2969263346354167,9.5001220703125e-07,0.14638312174479173,-2.33734130859375e-07
Cycle 32,0.650787353515625,7.8399658203125e-07,-0.499725341796875,-2.33184814453125e-07,1.2969568522135417,7.8399658203125e-07,0.14644415690104173,-2.33184814453125e-07
Cycle 33,0.650787353515625,6.6497802734375e-07,-0.499725341796875,-2.2760009765625e-07,1.2969568522135417,6.6497802734375e-07,0.14644415690104173,-2.2760009765625e-07
Cycle 34,0.650787353515625,5.755615234375e-07,-0.499786376953125,-2.23876953125e-07,1.2969568522135417,5.755615234375e-07,0.14638312174479173,-2.23876953125e-07
Cycle 35,0.6507568359375,5.1025390625e-07,-0.499725341796875,-2.26898193359375e-07,1.2969263346354167,5.1025390625e-07,0.14644415690104173,-2.26898193359375e-07
Cycle 36,0.650787353515625,4.6051025390625e-07,-0.499755859375,-2.2564697265625e-07,1.2969568522135417,4.6051025390625e-07,0.14641363932291673,-2.2564697265625e-07
Cycle 37,0.650787353515625,4.23126220703125e-07,-0.49969482421875,-2.24395751953125e-07,1.2969568522135417,4.23126220703125e-07,0.14647467447916673,-2.24395751953125e-07
Cycle 38,0.65081787109375,3.94256591796875e-07,-0.49969482421875,-2.21710205078125e-07,1.2969873697916667,3.94256591796875e-07,0.14647467447916673,-2.21710205078125e-07
Cycle 39,0.650787353515625,3.71734619140625e-07,-0.499755859375,-2.23236083984375e-07,1.2969568522135417,3.71734619140625e-07,0.14641363932291673,-2.23236083984375e-07
Cycle 40,0.650787353515625,3.53668212890625e-07,-0.4996337890625,-2.54913330078125e-07,1.2969568522135417,3.53668212890625e-07,0.14653570963541673,-2.54913330078125e-07
Cycle 41,,,,,,,,
