Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-0,234375;33,7978849146685;-6,817626953125E-08;-0,2337646484375;1;96;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,23681640625;34,0420259140521;-6,97021484375E-08;-0,236297607421875;1;97;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2392578125;34,2861669134357;-7,122802734375E-08;-0,23870849609375;1;98;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,24169921875;34,5303079128194;-7,26318359375E-08;-0,2410888671875;1;99;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,244140625;34,774448912203;-7,427978515625E-08;-0,243560791015625;1;100;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,24658203125;35,0185899115866;-7,6141357421875E-08;-0,2459716796875;1;101;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2490234375;35,2627309109702;-7,7972412109375E-08;-0,248443603515625;1;102;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,25146484375;35,5068719103538;-7,9833984375E-08;-0,250823974609375;1;103;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,25390625;35,7510129097374;-8,1878662109375E-08;-0,253265380859375;1;104;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,25634765625;35,995153909121;-8,4014892578125E-08;-0,255706787109375;1;105;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2587890625;36,2392949085046;-8,6273193359375E-08;-0,258209228515625;1;106;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,26123046875;36,4834359078882;-8,8623046875E-08;-0,2606201171875;1;107;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,263671875;36,7275769072718;-9,1033935546875E-08;-0,262969970703125;1;108;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,26611328125;36,9717179066554;-9,3536376953125E-08;-0,265472412109375;1;109;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2685546875;37,215858906039;-9,6160888671875E-08;-0,26788330078125;1;110;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,27099609375;37,4599999054226;-9,9273681640625E-08;-0,270355224609375;1;111;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2734375;37,7041409048062;-1,0223388671875E-07;-0,27276611328125;1;112;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,27587890625;37,9482819041898;-1,05133056640625E-07;-0,275177001953125;1;113;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2783203125;38,1924229035734;-1,0845947265625E-07;-0,277587890625;1;114;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,28076171875;38,436563902957;-1,1187744140625E-07;-0,28009033203125;1;115;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,283203125;38,6807049023406;-1,15264892578125E-07;-0,28253173828125;1;116;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,28564453125;38,9248459017242;-1,1883544921875E-07;-0,28485107421875;1;117;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2880859375;39,1689869011078;-1,22802734375E-07;-0,2872314453125;1;118;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,29052734375;39,4131279004914;-1,265869140625E-07;-0,28973388671875;1;119;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,29296875;39,657268899875;-1,30706787109375E-07;-0,29217529296875;1;120;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,29541015625;39,9014098992586;-1,34765625E-07;-0,2945556640625;1;121;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,2978515625;40,1455508986422;-1,39068603515625E-07;-0,2969970703125;1;122;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,30029296875;40,3896918980258;-1,4337158203125E-07;-0,29949951171875;1;123;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,302734375;40,6338328974094;-1,47857666015625E-07;-0,3018798828125;1;124;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,30517578125;40,877973896793;-1,5240478515625E-07;-0,3043212890625;1;125;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3076171875;41,1221148961766;-1,5673828125E-07;-0,30670166015625;1;126;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,31005859375;41,3662558955602;-1,61407470703125E-07;-0,3092041015625;1;127;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3125;41,6103968949438;-1,6595458984375E-07;-0,311614990234375;1;128;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,31494140625;41,8545378943274;-1,7047119140625E-07;-0,31402587890625;1;129;0,000377255453169346;-1,23335473239422E-05;100 nA;
